gene	oe_lof_upper	interaction
EIF2A	0.878	cis
EIF2AK1	0.71	cis
EIF2AK4	0.572	cis_intra
EIF2B1	0.976	cis
EIF2B2	1.517	cis
EIF2B3	0.432	trans-inter
EIF2D	0.796	cis
EIF2S1	0.31	cis_intra
EIF2S2	0.342	cis_inter
EIF2S3	0.322	cis
EIF2S3L	1.282	cis
EIF3B	0.067	cis
EIF3D	0.187	cis
EIF3E	0.533	inter_intra
EIF3F	0.31	cis
EIF3G	0.275	cis
EIF3H	0.592	inter_intra
EIF3K	0.822	cis
EIF3L	0.366	cis_inter_intra
EIF4A1	0.117	cis
EIF4A3	0.119	cis
EIF4B	0.123	cis
EIF4E3	0.811	cis_intra
EIF4ENIF1	0.177	cis_inter_intra
EIF4G2	0.085	cis
EIF4G3	0.112	cis_inter_intra
EIF4H	0.548	cis
EIF5	0.285	cis
EIF5A	0.543	cis
EIF6	0.663	cis_intra
ELAC1	0.419	cis_inter_intra
ELAC2	1.046	cis
ELANE	1.129	cis
ELAVL1	0.222	cis_intra
ELF1	0.584	inter_intra
ELF2	0.258	trans-inter
ELF3	0.296	cis
ELFN2	0.327	cis_inter_intra
ELK3	0.715	cis_intra
ELK4	0.915	cis
ELL	0.301	cis_inter_intra
ELL2	0.244	cis
ELMO1	0.333	cis_inter_intra
ELMO2	0.556	cis
ELMO3	0.97	cis_intra
ELMOD2	0.5	trans-intra
ELMOD3	1.606	cis
ELMSAN1	0.136	cis_inter
ELN	0.871	trans-intra
ELOVL4	0.407	cis_intra
ELOVL5	0.355	cis_intra
ELOVL6	0.319	cis_intra
ELOVL7	0.75	cis_intra
ELP2	0.882	cis_intra
ELP3	1.025	cis_inter_intra
ELP4	1.028	inter_intra
ELP5	1.698	cis
EMB	1.486	cis_inter_intra
EMC1	1.009	cis_intra
EMC10	1.605	cis_intra
EMC3	0.547	trans-intra
EMC4	0.438	cis
EMC6	1.289	cis
EMC7	0.432	cis
EMC8	0.445	cis_intra
EMD	0.35	cis
EME2	1.939	cis
EMID1	0.978	cis_intra
EMILIN2	1.051	cis_inter
EML2	1.026	trans-intra
EML3	0.562	cis
EML4	0.455	inter_intra
EML6	0.453	cis_inter_intra
EMP1	0.787	cis
EMP2	1.884	trans-intra
ENAH	0.173	cis_intra
ENC1	0.488	cis
ENDOD1	1.645	cis_intra
ENDOG	1.638	cis
ENDOU	1.303	cis
ENDOV	1.355	cis_intra
ENG	0.24	cis
ENGASE	1.336	cis
ENKUR	1.2	cis_inter_intra
ENO1	0.864	cis
ENOSF1	1.348	cis_intra
ENOX2	0.892	trans-intra
ENPP2	0.431	cis_inter_intra
ENPP3	1.025	cis_intra
ENPP4	0.66	cis
ENSA	0.719	cis
ENTPD1	0.602	cis_inter_intra
ENTPD2	1.471	cis
ENTPD4	1.017	cis
ENTPD5	0.701	cis
ENTPD6	0.816	cis_intra
ENY2	0.442	cis
EOGT	0.985	cis_intra
EP300	0.099	cis
EP400	0.208	trans-intra
EP400NL	1.462	cis_intra
EPAS1	0.381	cis
EPB41	0.519	cis_intra
EPB41L1	0.343	inter_intra
EPB41L2	0.288	cis_intra
EPB41L3	0.477	cis_inter_intra
EPB41L4A	1.015	cis_inter_intra
EPB41L4B	0.237	cis_intra
EPB41L5	0.426	cis_intra
EPB42	0.773	trans-inter
EPC2	0.159	cis_intra
EPDR1	1.051	cis
EPG5	0.456	cis_intra
EPHA1	1.045	cis
EPHA2	0.555	trans-intra
EPHA4	0.175	cis_inter_intra
EPHB1	0.257	cis_inter_intra
EPHB2	0.184	cis_inter_intra
EPHB3	0.375	cis_inter
EPHB4	0.422	cis
EPHB6	0.617	cis
EPHX1	1.127	cis_intra
EPHX2	1.263	cis_intra
EPHX4	0.907	cis_intra
EPM2A	1.339	cis_intra
EPM2AIP1	0.452	cis
EPN1	0.388	cis_intra
EPN2	0.397	inter_intra
EPOR	0.652	cis_intra
EPRS	0.505	cis_intra
EPS15	0.455	cis_intra
EPS15L1	0.245	cis_inter_intra
EPS8	0.311	cis_inter_intra
EPS8L1	1.027	cis_intra
EPS8L2	0.627	cis
EPSTI1	1.719	cis_intra
EPX	1.226	cis
ERAL1	1.024	cis
ERAP1	1.132	cis_inter_intra
ERAP2	1.191	cis_intra
ERC1	0.543	cis_inter_intra
ERCC1	1.296	cis_intra
ERCC2	1.086	cis_intra
ERCC3	0.786	cis
ERCC4	0.896	cis
ERCC5	0.805	trans-intra
ERCC6	0.802	cis_intra
ERCC6L	0.211	trans-intra
ERCC6L2	0.675	cis_inter_intra
ERCC8	1.355	cis_intra
EREG	1.571	cis_intra
ERG	0.329	inter_intra
ERGIC2	0.628	cis_intra
ERH	0.421	cis
ERI1	1.073	cis_intra
ERI2	0.975	cis_inter_intra
ERI3	0.745	inter_intra
ERICH1	1.639	cis_intra
ERLEC1	0.742	cis
ERLIN1	0.539	cis
ERLIN2	0.833	trans-intra
ERMAP	1.167	cis
ERMARD	1.023	cis_inter_intra
ERMN	1.285	cis
ERMP1	0.886	cis_inter_intra
ERN1	0.293	cis_intra
ERP27	1.863	cis
ERP44	0.274	trans-inter
ERRFI1	0.881	cis
ERV3-1	NA	cis_intra
ESCO1	0.17	trans-intra
ESCO2	0.833	cis_intra
ESF1	0.463	cis_inter
ESM1	0.901	cis
ESPN	0.934	cis
ESPNL	0.938	cis_intra
ESR1	0.19	inter_intra
ESR2	1.007	cis_inter_intra
ESRRA	0.49	cis
ESYT1	0.622	cis
ESYT2	0.566	cis_intra
ETF1	0.251	cis
ETFA	0.68	cis_inter_intra
ETFB	0.825	cis_intra
ETFDH	1.044	cis
ETHE1	1.456	cis_intra
ETNK1	0.36	trans-intra
ETS1	0.389	inter_intra
ETS2	0.197	cis
ETV2	1.418	cis
ETV3	0.299	trans-intra
ETV5	0.092	cis_intra
ETV6	0.318	cis_inter_intra
ETV7	1.528	cis_inter_intra
EVA1B	0.694	cis
EVA1C	0.745	cis_inter_intra
EVC	1.064	cis_inter
EVC2	1.064	cis_inter_intra
EVI2A	1.344	cis_intra
EVI2B	0.761	cis
EVI5	0.761	cis_inter_intra
EVI5L	0.214	cis_intra
EVL	0.238	cis_inter_intra
EVPL	0.749	cis
EWSR1	0.218	trans-inter
EXD2	1.121	cis_intra
EXD3	0.999	cis_inter
EXO1	0.925	cis
EXO5	1.433	cis
EXOC1	0.479	cis_intra
EXOC2	0.59	cis_inter_intra
EXOC3	0.348	cis
EXOC4	0.795	cis_inter_intra
EXOC5	0.178	trans-intra
EXOC6	0.593	cis_inter_intra
EXOC6B	0.396	inter_intra
EXOC8	0.194	cis
EXOG	1.631	cis
EXOSC10	0.738	cis
EXOSC2	1.096	cis
EXOSC3	1.213	cis
EXOSC5	1.14	trans-intra
EXOSC6	1.282	cis
EXOSC7	1.092	cis
EXOSC8	1.685	cis
EXOSC9	1.11	cis
EXT1	0.261	cis_inter_intra
EXT2	0.766	cis_intra
EXTL2	1.031	cis
EXTL3	0.677	cis_inter_intra
EYA2	0.467	cis_inter_intra
EYA3	0.264	cis_intra
EZH1	0.421	cis_intra
EZH2	0.146	cis_intra
EZR	0.44	cis_intra
F11R	1.01	cis
F13A1	0.739	cis_intra
F2R	0.955	cis
F2RL1	1.327	cis
F2RL2	1.487	cis
F2RL3	1.63	cis
F5	0.562	cis_intra
F8	0.089	cis_inter
FA2H	0.556	cis_intra
FAAH	1.054	cis
FAAH2	1.935	cis_intra
FABP2	1.505	cis
FABP3	0.865	cis_intra
FABP5	1.106	cis
FABP6	1.652	trans-intra
FADD	1.277	cis
FADS1	0.445	cis
FADS2	0.232	cis_inter_intra
FADS3	0.622	cis
FAF1	0.251	inter_intra
FAF2	0.216	cis_inter
FAH	1.414	cis_inter
FAHD1	1.967	cis_intra
FAHD2B	1.36	cis
FAIM	1.382	cis
FAIM2	0.82	cis_intra
FAM102A	0.584	cis_inter
FAM102B	0.773	cis_intra
FAM103A1	1.304	cis
FAM104A	0.843	cis
FAM105A	1.241	cis
FAM107A	1.916	trans-intra
FAM107B	1.392	cis_inter_intra
FAM109A	1.756	cis
FAM109B	1.788	cis
FAM110A	1.019	cis
FAM110B	0.705	trans-intra
FAM110C	1.862	cis
FAM114A1	1.485	cis_inter
FAM114A2	1.04	cis
FAM117A	0.861	cis_intra
FAM117B	0.662	cis_inter
FAM118A	1.004	cis_intra
FAM118B	0.676	cis_inter_intra
FAM120A	0.163	cis_inter_intra
FAM120AOS	0.989	cis
FAM120B	0.75	cis_inter_intra
FAM120C	0.136	cis_intra
FAM122A	0.791	cis
FAM122B	0.457	trans-inter
FAM124A	1.434	cis
FAM124B	1.302	cis
FAM126A	0.485	cis_inter_intra
FAM127C	1.936	cis
FAM129A	1.243	inter_intra
FAM129B	0.446	trans-intra
FAM129C	1.108	cis
FAM131B	0.256	cis
FAM133B	0.825	trans-intra
FAM134A	0.509	cis
FAM134B	0.863	cis_inter_intra
FAM134C	0.517	cis_intra
FAM135A	0.265	cis_intra
FAM136A	1.725	cis
FAM13A	0.829	inter_intra
FAM13B	0.365	inter_intra
FAM149A	0.793	cis_intra
FAM149B1	1.049	cis
FAM151B	1.477	cis_intra
FAM153A	1.159	cis
FAM153B	1.171	cis
FAM153C	1.056	cis
FAM159A	1.865	cis
FAM160A1	0.621	cis_inter_intra
FAM160A2	0.293	cis
FAM160B1	0.25	cis_intra
FAM160B2	0.775	cis
FAM161A	1.014	trans-intra
FAM161B	1.088	cis
FAM162A	1.521	cis
FAM166B	1.753	cis
FAM167A	1.97	cis_inter_intra
FAM167B	1.652	cis
FAM168A	0.229	cis_inter_intra
FAM168B	1.091	trans-intra
FAM169A	0.232	trans-intra
FAM169B	1.16	cis
FAM170B	1.452	cis
FAM171A1	0.302	cis_inter_intra
FAM171B	0.408	trans-intra
FAM172A	0.725	trans-intra
FAM173A	1.615	cis
FAM173B	1.662	cis
FAM174A	1.796	cis_intra
FAM174B	1.83	cis_inter_intra
FAM175A	1.007	cis_intra
FAM175B	0.597	cis
FAM177A1	1.139	cis
FAM177B	1.605	cis
FAM178B	0.925	cis_intra
FAM182B	1.901	cis
FAM184A	0.885	trans-intra
FAM184B	0.841	trans-intra
FAM185A	0.693	cis
FAM189A2	1.112	cis_inter_intra
FAM192A	0.594	cis_intra
FAM193A	0.213	inter_intra
FAM193B	0.275	cis
FAM196B	0.278	inter_intra
FAM198B	1.079	cis_intra
FAM19A1	0.737	cis_inter_intra
FAM19A2	0.727	cis_inter_intra
FAM200B	1.291	trans-inter
FAM204A	0.773	trans-intra
FAM206A	1.466	cis
FAM207A	0.942	cis_inter
FAM208A	0.258	cis
FAM208B	0.332	cis_intra
FAM209A	1.417	cis
FAM209B	1.903	cis
FAM20A	0.865	cis_inter_intra
FAM20B	0.913	cis
FAM20C	0.489	cis_inter
FAM210A	1.45	cis_inter_intra
FAM210B	1.358	cis_intra
FAM212B	0.968	cis_intra
FAM213A	1.718	cis_intra
FAM213B	1.517	cis
FAM214A	0.368	cis_inter_intra
FAM216A	0.719	cis
FAM220A	NA	cis
FAM222A	0.446	trans-intra
FAM222B	0.544	cis_intra
FAM227B	1.431	inter_intra
FAM228B	1.277	inter_intra
FAM229B	1.117	cis_intra
FAM24B	1.899	trans-intra
FAM26F	1.773	cis
FAM32A	1.291	cis
FAM35A	0.801	cis
FAM3A	0.602	cis
FAM3B	1.54	cis_inter
FAM3C	0.691	trans-intra
FAM3D	0.979	cis_intra
FAM43A	0.669	cis
FAM46A	0.374	inter_intra
FAM46C	0.322	cis_intra
FAM49A	0.526	trans-intra
FAM49B	0.31	cis_inter_intra
FAM50A	0.292	cis
FAM50B	0.755	cis
FAM53A	1.173	cis_inter_intra
FAM53B	0.416	cis_inter
FAM57A	0.649	cis
FAM58A	0.396	cis
FAM60A	0.288	cis_intra
FAM64A	1.141	cis_intra
FAM65A	0.315	cis
FAM65B	0.328	cis_intra
FAM65C	1.046	inter_intra
FAM69A	0.494	cis_intra
FAM69B	0.725	cis
FAM71F2	1	cis
FAM76A	0.932	trans-intra
FAM76B	0.482	cis
FAM83A	1.408	cis
FAM83D	1.166	cis_intra
FAM83F	1.434	cis_inter_intra
FAM83G	0.723	cis
FAM84B	1.451	cis
FAM86C1	1.949	cis
FAM89A	1.316	cis
FAM89B	1.648	cis
FAM8A1	0.687	cis
FAM90A1	1.874	cis
FAM91A1	0.488	cis_intra
FAM98B	0.65	cis_inter_intra
FAM98C	1.347	cis
FAN1	1.117	cis
FANCA	1.366	cis_inter_intra
FANCC	1.043	cis_inter_intra
FANCD2	0.886	cis_inter_intra
FANCF	1.525	cis
FANCG	1.091	cis
FANCI	1.024	cis_intra
FANCL	1.614	trans-intra
FANCM	0.593	trans-intra
FANK1	1.18	cis_inter_intra
FAR1	0.299	trans-intra
FAR2	0.434	trans-intra
FARP1	0.509	cis_inter_intra
FARP2	1.183	cis_inter_intra
FARS2	1.152	cis_inter_intra
FARSA	0.526	cis
FARSB	0.558	cis_inter_intra
FAS	0.441	cis
FASN	0.155	cis_intra
FASTK	0.583	cis
FASTKD1	1.371	cis
FASTKD2	0.75	cis
FASTKD3	1.154	cis
FAT2	0.507	cis_intra
FAU	0.476	cis
FAXDC2	1.225	cis
FBF1	0.872	inter_intra
FBL	0.246	cis
FBLN1	0.338	inter_intra
FBLN2	0.52	inter_intra
FBLN5	0.172	cis_intra
FBN1	0.049	cis_inter_intra
FBN2	0.205	cis_inter_intra
FBP1	0.723	cis_intra
FBRSL1	0.571	cis
FBXL12	0.831	cis
FBXL13	0.939	cis_inter_intra
FBXL14	0.469	trans-intra
FBXL17	0.149	cis_inter_intra
FBXL18	0.88	cis_inter_intra
FBXL2	0.52	cis_intra
FBXL20	0.257	cis_inter_intra
FBXL3	0.288	trans-inter
FBXL4	0.918	cis_intra
FBXL5	0.241	cis
FBXL7	0.535	inter_intra
FBXO10	0.648	cis
FBXO11	0.097	cis_intra
FBXO17	1.771	cis
FBXO18	0.479	cis_intra
FBXO2	0.997	cis
FBXO21	0.314	trans-intra
FBXO22	0.296	inter_intra
FBXO25	0.742	cis
FBXO27	1.76	cis_intra
FBXO28	0.271	cis
FBXO31	0.457	cis
FBXO32	0.222	trans-intra
FBXO33	0.241	inter_intra
FBXO34	0.524	cis_inter_intra
FBXO36	1.74	trans-intra
FBXO38	0.265	cis_intra
FBXO40	1.082	cis_intra
FBXO41	0.207	cis_intra
FBXO42	0.274	cis_intra
FBXO44	1.139	cis
FBXO46	0.457	cis
FBXO5	0.32	trans-intra
FBXO6	0.841	cis
FBXO7	0.877	trans-intra
FBXO9	0.701	cis_intra
FBXW11	0.314	cis_intra
FBXW4	0.723	cis_intra
FBXW5	1.529	cis
FBXW7	0.232	cis_intra
FBXW8	1.269	cis_inter_intra
FBXW9	1.002	cis_intra
FCAR	1.632	cis_intra
FCER1A	1.368	cis
FCER1G	0.607	cis
FCER2	1.368	cis
FCF1	0.764	cis
FCGBP	0.767	cis_intra
FCGR2B	0.634	cis
FCGR2C	NA	cis
FCGR3A	1.496	cis
FCGR3B	1.651	cis
FCGRT	0.691	cis
FCHO1	0.264	cis
FCHO2	0.222	cis
FCHSD1	1.288	cis
FCHSD2	0.366	inter_intra
FCN1	1.815	cis
FCRL1	0.912	cis_intra
FCRL2	1.122	cis
FCRL3	1.279	cis_intra
FCRL5	1.063	cis_inter
FCRLA	1.427	cis
FCRLB	1.497	cis
FDFT1	1.575	cis_inter_intra
FDPS	0.628	cis
FDX1	1.361	cis
FDXACB1	1.175	cis
FDXR	0.818	cis_intra
FEM1A	1.374	cis
FEM1B	0.522	cis
FEM1C	0.479	cis
FER	0.357	cis_inter_intra
FERMT2	0.13	cis_inter_intra
FERMT3	0.562	cis
FES	0.845	cis
FEZ1	0.414	cis
FEZ2	1.474	inter_intra
FFAR1	1.658	cis
FFAR2	1.262	cis
FFAR3	1.877	cis
FFAR4	1.259	cis
FGD2	0.806	cis_intra
FGD3	0.733	cis_inter_intra
FGD4	0.462	cis_inter_intra
FGD5	0.162	inter_intra
FGD6	0.538	cis_intra
FGF1	0.863	inter_intra
FGF13	0.406	cis_inter_intra
FGF8	0.51	trans-intra
FGFBP2	1.917	cis
FGFR1	0.215	cis_intra
FGFR1OP	0.729	cis_intra
FGFR4	0.868	cis
FGFRL1	0.73	cis
FGG	0.536	trans-intra
FGGY	1.215	cis_inter_intra
FGL1	1.934	cis_intra
FGL2	1.008	cis
FH	0.544	cis_intra
FHAD1	1.346	cis_inter_intra
FHDC1	0.585	cis
FHIT	1.453	cis_inter_intra
FHL2	1.131	cis_intra
FHL3	0.845	cis
FHL5	1.613	trans-intra
FHOD1	0.876	cis_intra
FIBP	1.041	cis
FIG4	1.24	trans-intra
FIGNL1	0.787	cis
FILIP1L	0.725	cis_inter_intra
FIP1L1	0.358	cis
FIS1	1.548	cis_inter
FIZ1	0.59	trans-intra
FKBP11	1.53	cis
FKBP14	1.655	cis_intra
FKBP15	0.607	cis_inter
FKBP1A	0.538	cis
FKBP3	1.007	trans-intra
FKBP5	0.418	cis_inter_intra
FKBP7	1.696	cis
FKBP8	0.161	cis
FKBP9	0.815	cis
FKBPL	1.624	cis_intra
FKRP	1.318	cis
FKTN	0.842	cis_inter_intra
FLCN	0.388	cis_intra
FLG	1.96	trans-intra
FLI1	0.28	cis_inter_intra
FLII	0.607	cis
FLNA	0.082	cis
FLNB	0.443	cis_inter_intra
FLOT1	0.925	cis_intra
FLOT2	0.742	cis
FLT1	0.246	cis_intra
FLT3	0.349	trans-intra
FLT3LG	0.356	cis
FLT4	0.147	cis_inter
FLVCR1	0.668	cis_intra
FLVCR2	0.927	cis_inter_intra
FLYWCH1	1.35	cis_inter
FLYWCH2	1.588	cis_inter
FMN1	0.934	cis_inter_intra
FMNL1	0.23	cis_inter
FMNL2	0.288	cis_inter_intra
FMNL3	0.359	cis_intra
FMO4	1.175	cis
FMO5	1.448	cis_intra
FMOD	0.985	cis
FMR1	0.417	cis
FN1	0.338	trans-intra
FN3K	1.363	cis
FN3KRP	1.544	cis
FNBP1	0.359	cis_inter
FNBP1L	0.371	cis
FNBP4	0.142	cis
FNDC3A	0.221	inter_intra
FNDC3B	0.042	cis_inter_intra
FNDC5	0.727	cis
FNDC9	1.353	cis
FNIP1	0.251	cis_intra
FNIP2	0.13	cis_intra
FNTA	0.345	cis
FNTB	0.509	cis
FOCAD	0.877	cis_inter_intra
FOLR1	0.652	cis
FOLR3	1.096	cis
FOPNL	1.624	cis
FOS	0.645	cis
FOSB	0.3	cis
FOSL1	0.748	cis
FOSL2	0.241	trans-intra
FOXC1	0.311	cis
FOXD2	1.31	trans-intra
FOXD4	1.896	cis
FOXI1	0.513	cis
FOXJ2	0.242	cis
FOXJ3	0.27	trans-intra
FOXK1	0.398	cis_inter
FOXK2	0.58	cis_inter_intra
FOXN2	0.478	cis
FOXN3	0.363	cis_inter_intra
FOXO1	0.173	inter_intra
FOXO3	0.267	inter_intra
FOXO4	0.479	cis_inter
FOXO6	0.671	cis
FOXP1	0.175	cis_inter_intra
FOXP4	0.306	cis_intra
FOXQ1	0.965	cis
FOXRED1	1.32	cis
FOXRED2	0.622	cis
FPGS	0.741	cis
FPGT	1.281	cis_intra
FPR1	NA	cis_intra
FPR2	1.701	cis_intra
FPR3	NA	cis_intra
FRA10AC1	1.167	cis
FRAT1	1.109	cis
FRAT2	1.688	cis
FRG1	1.308	cis
FRMD3	0.442	cis_inter_intra
FRMD4A	0.135	cis_inter_intra
FRMD4B	0.349	cis_inter_intra
FRMD6	0.495	cis_inter_intra
FRMPD3	0.476	cis_intra
FRRS1	0.848	cis_intra
FRS2	0.219	cis_intra
FRS3	0.464	cis
FRY	0.212	cis_inter_intra
FRYL	0.272	inter_intra
FSD1	0.472	cis
FSD1L	0.477	cis_intra
FSD2	1.27	cis_intra
FSIP1	1.252	inter_intra
FSTL1	0.379	cis_intra
FSTL3	0.586	cis
FSTL4	0.444	cis_inter_intra
FTCD	1.228	cis
FTCDNL1	0.929	cis_intra
FTO	0.85	cis_inter_intra
FTSJ1	0.204	cis
FTSJ3	0.412	cis
FUBP1	0.115	cis_intra
FUCA1	0.944	cis
FUCA2	0.902	cis
FUK	1.132	cis_intra
FUOM	1.626	cis
FURIN	0.191	cis
FUT1	1.34	cis
FUT10	1.084	cis_inter_intra
FUT11	1.163	cis
FUT2	1.923	cis
FUT4	1.137	cis
FUT7	1.206	cis
FUT8	0.509	cis_inter_intra
FUZ	0.91	cis
FXN	0.723	inter_intra
FXR1	0.119	trans-intra
FXR2	0.185	cis
FXYD2	1.199	cis_intra
FXYD3	1.313	cis
FXYD5	1.01	cis
FXYD6	0.649	cis_intra
FXYD7	1.489	cis
FYB	0.412	cis_inter_intra
FYCO1	0.911	cis
FYN	0.278	inter_intra
FYTTD1	0.507	cis_inter
FZD1	0.602	cis
FZD2	0.471	cis
FZD3	0.62	cis
FZD4	0.312	cis
FZD6	1.079	cis_intra
FZD8	0.423	trans-inter
FZR1	0.172	cis_intra
G3BP1	0.519	cis
G3BP2	0.179	cis_inter
G6PC3	1.031	cis
GAA	0.981	cis
GAB1	0.439	cis_intra
GAB2	0.304	cis_inter_intra
GAB3	0.341	cis
GABARAPL1	0.504	cis
GABARAPL2	1.581	cis_intra
GABBR1	0.224	cis
GABPA	0.232	trans-inter
GABPB1	0.369	cis
GABPB2	0.879	cis
GABRD	0.245	cis
GABRR2	0.893	cis_intra
GAD1	0.474	cis_intra
GADD45B	0.904	cis
GADD45G	0.719	cis
GAK	0.408	cis_inter
GAL	1.75	cis
GAL3ST1	0.515	trans-intra
GAL3ST4	1.34	cis
GALC	0.937	cis_inter_intra
GALE	1.388	cis
GALK1	1.092	cis
GALK2	1.251	cis_inter_intra
GALNS	1.013	cis
GALNT1	0.587	cis_intra
GALNT10	0.637	cis_inter_intra
GALNT11	0.646	cis_intra
GALNT12	0.941	trans-inter
GALNT14	1.097	trans-intra
GALNT15	1.279	cis
GALNT18	0.641	cis_inter_intra
GALNT2	0.488	cis_inter_intra
GALNT4	0.503	cis
GALNT5	0.981	trans-intra
GALNT6	0.899	cis_intra
GALNT7	0.644	trans-intra
GALNT8	1.388	cis_inter_intra
GALT	0.955	cis
GALT	0.864	cis
GAMT	1.26	cis
GAN	0.5	trans-intra
GANAB	0.267	cis_intra
GANC	1.191	cis_inter_intra
GAP43	1	inter_intra
GAPT	1.873	cis
GAPVD1	0.125	cis_inter
GARNL3	0.501	inter_intra
GARS	0.402	trans-intra
GART	0.504	cis
GAS2	0.811	cis_intra
GAS2L1	0.463	cis
GAS2L3	1.122	cis_intra
GAS6	0.486	cis
GAS7	0.362	cis_inter_intra
GAS8	1.188	cis_intra
GATA3	0.388	cis
GATA6	0.174	cis_inter
GATAD2A	0.202	cis_inter_intra
GATAD2B	0.097	cis_intra
GATC	1.695	cis
GATM	0.534	cis_intra
GATS	1.255	cis_inter
GATSL2	1.625	cis
GATSL3	0.746	cis
GBA	0.801	cis
GBA2	0.94	cis
GBAS	1.119	trans-inter
GBE1	0.972	cis_inter_intra
GBF1	0.551	inter_intra
GBGT1	1.59	cis
GBP1	1.225	trans-intra
GBP3	1.341	cis_intra
GBP4	1.24	cis
GCAT	1.237	cis
GCC1	0.8	trans-intra
GCC2	0.414	cis_inter
GCDH	0.639	cis_intra
GCFC2	1.167	trans-intra
GCH1	0.398	cis_intra
GCLC	0.401	cis_intra
GCLM	0.216	cis
GCM1	0.149	cis_intra
GCNT1	0.919	cis
GCNT2	1.161	cis_intra
GCNT4	0.911	cis_intra
GCNT7	0.9	cis
GCSAM	0.996	cis_inter
GCSAML	1.151	cis
GCSH	1.423	cis
GDAP1	1.162	cis_inter_intra
GDAP2	0.897	trans-intra
GDE1	1.172	cis
GDF11	0.298	trans-intra
GDF15	1.865	cis
GDF9	1.188	cis
GDI1	0.192	cis
GDI2	0.384	cis_inter_intra
GDPD1	0.689	cis_inter_intra
GDPD3	1.507	cis
GDPD5	0.602	cis
GDPGP1	1.84	cis
GEMIN4	1.007	cis
GEMIN5	0.748	cis_intra
GEMIN7	0.889	cis
GEMIN8	0.327	cis
GEN1	0.951	trans-intra
GET4	0.502	cis
GFER	1.652	cis
GFI1	0.561	trans-intra
GFI1B	0.865	cis
GFM1	0.8	cis_intra
GFM2	1.039	cis_intra
GFOD1	0.791	inter_intra
GFPT1	0.338	cis
GFPT2	0.74	cis_inter
GFRA2	0.69	cis_intra
GGA1	0.153	cis
GGA2	0.749	cis_intra
GGA3	0.719	cis
GGACT	1.919	cis
GGCT	1.335	cis
GGCX	0.93	cis
GGH	0.495	cis
GGNBP2	0.073	cis
GGPS1	0.64	cis
GGT1	0.738	cis
GGT5	1.098	cis_intra
GGT7	0.303	cis_intra
GHITM	0.735	cis
GHRL	1.966	cis
GID4	0.379	cis_intra
GID8	0.357	cis
GIF	0.823	cis
GIGYF1	0.484	cis
GIGYF2	0.077	cis_intra
GIMAP1	1.696	cis
GIMAP2	1.691	cis
GIMAP4	1.957	cis
GIMAP5	1.883	cis
GIMAP6	1.76	cis
GIMAP7	NA	cis
GIMAP8	0.986	cis
GIN1	0.84	cis_inter
GINM1	1.35	cis
GINS1	1.277	trans-inter
GINS2	1.813	cis
GINS3	1.518	cis_intra
GIPC1	0.959	cis
GIPC3	0.934	cis
GIPR	1.758	cis_intra
GIT1	0.22	cis
GIT2	0.266	cis_inter
GJA4	0.784	cis
GJB2	1.984	cis
GJB3	1.323	cis
GJB5	1.825	cis
GJB6	1.739	cis
GK5	0.528	cis
GKAP1	0.524	cis_inter
GKN1	1.704	trans-inter
GLA	0.177	cis_intra
GLB1	0.86	cis_inter_intra
GLB1L	0.967	cis
GLB1L2	1.12	cis_intra
GLB1L3	1.21	cis_inter_intra
GLCCI1	0.575	cis_intra
GLCE	0.438	cis_intra
GLDC	1.106	cis_intra
GLDN	1.273	cis_intra
GLE1	0.752	cis_inter_intra
GLG1	0.207	cis_intra
GLI1	0.924	cis
GLI4	0.984	cis
GLIPR1	1.747	cis_intra
GLIPR2	1.593	cis
GLIS2	0.415	cis
GLMN	0.906	trans-inter
GLO1	1.464	cis
GLOD4	1.593	cis
GLRX	1.933	cis
GLRX2	1.621	cis
GLRX3	0.477	trans-intra
GLRX5	0.661	cis_intra
GLS	0.323	cis_intra
GLT1D1	1.417	cis_intra
GLT8D2	1.458	trans-intra
GLTP	0.826	cis
GLTSCR1	0.304	cis_intra
GLTSCR1L	0.071	cis_inter_intra
GLTSCR2	0.494	cis
GLUD1	0.612	cis
GLUL	0.185	cis
GLYAT	1.714	inter_intra
GLYATL1	0.917	trans-intra
GLYCTK	1.602	cis
GLYR1	0.195	cis_inter_intra
GM2A	1.28	cis_inter
GMCL1	0.75	cis
GMDS	0.273	cis_inter_intra
GMEB2	0.236	cis_intra
GMFB	1.064	inter_intra
GMFG	1.638	cis
GMIP	0.711	cis
GMPPA	0.943	inter_intra
GMPPB	1.092	cis
GMPR	1.059	cis_intra
GMPS	0.244	cis_intra
GNA11	0.395	cis_intra
GNA12	0.276	cis_inter_intra
GNA13	0.409	cis_inter_intra
GNA14	1.712	inter_intra
GNA15	0.701	cis_intra
GNAI1	0.379	inter_intra
GNAI2	0.393	cis_inter
GNAI3	0.611	cis_intra
GNAL	0.206	cis_inter_intra
GNAO1	0.261	cis_inter_intra
GNAQ	0.302	cis_inter_intra
GNAS	0.372	cis_inter
GNAZ	0.292	cis_inter_intra
GNB1	0.145	cis_inter_intra
GNB1L	1.049	cis_inter_intra
GNB3	1.378	cis
GNB4	0.698	cis_inter
GNB5	0.974	cis_intra
GNE	1.162	cis_intra
GNG10	1.959	cis
GNG11	1.2	cis
GNG12	1.055	cis_intra
GNG2	1.354	cis_inter_intra
GNG5	1.585	cis_intra
GNG7	1.387	cis_inter_intra
GNG8	1.681	cis
GNGT2	1.561	cis
